Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2022-07-27,320.4544677734375,322.3346731942856,316.80120503484903,320.4934442338077,1643000
2022-07-28,322.2664489746094,324.98448458391994,313.44016920233213,321.72089748941585,2350900
2022-07-29,321.1850891113281,322.51974287861714,318.3891303905999,322.51974287861714,3399900
2022-08-01,315.7879943847656,321.90598993187103,315.1157917279861,319.0613329391256,2464300
2022-08-02,311.93994140625,320.4934460919087,311.1215843853728,318.7496136767538,3405700
2022-08-03,305.73419189453125,312.6997688941536,302.21733244376327,312.35879181167246,5152200
2022-08-04,297.90167236328125,302.24661129544563,294.44323238133256,302.1979130165385,4696300
2022-08-05,293.54693603515625,297.44374910962694,292.56298122014863,294.6770153943917,2814300
2022-08-08,294.696533203125,298.2231448105544,288.8805376230931,292.8942509382963,3218900
2022-08-09,295.2030944824219,298.78818547916717,293.5274634967637,297.2197025936547,2122900
2022-08-10,296.7520446777344,299.20705595276917,294.784164769458,296.64489658827466,2351000
2022-08-11,293.40081787109375,297.5411818527534,291.90053648030727,293.2644151399654,2198800
2022-08-12,301.11236572265625,301.51309663032185,294.48570524157395,296.0690919355395,2305100
2022-08-15,306.83984375,307.4946741311837,300.35978499200974,302.2168080721826,2795800
2022-08-16,303.29193115234375,307.26010655664146,302.62731740019353,306.83005534586584,2248000
2022-08-17,309.6547546386719,313.3492643523208,302.99877308969633,302.99877308969633,2747200
2022-08-18,309.5570068359375,311.7463370633381,307.09401033011176,309.58632715764776,2261600
2022-08-19,315.47015380859375,318.38276822817164,310.3193519952249,310.3291353778465,3393100
2022-08-22,315.7926940917969,318.40229198857674,313.14399249353477,314.991232262028,2488000
2022-08-23,307.9736022949219,314.5611587268667,306.77140963549886,313.97472255574854,2962000
2022-08-24,311.65838623046875,313.60337056438755,308.0909411119297,309.3126709352231,1827000
2022-08-25,315.8318176269531,316.0565968129757,308.6871145584915,313.3492544061665,1977900
2022-08-26,308.4232482910156,317.24902334844353,308.1397986201163,316.27163948902785,1858000
2022-08-29,303.13555908203125,307.7488114988063,302.67618753403553,306.25341557914106,1697000
2022-08-30,300.0959167480469,304.91441150581807,299.0892126726161,303.12581235666084,1980300
2022-08-31,294.41729736328125,301.8356359328084,294.29998626640116,300.1936385050817,3183500
2022-09-01,302.13861083984375,302.4122770672476,293.70378521422225,294.1924770365421,2939200
2022-09-02,294.5150146484375,303.2039699833938,292.98054492152704,303.09644226708485,2525400
2022-09-06,299.880859375,305.7549148430508,295.3946719899634,296.0983894127563,2322200
2022-09-07,304.5527648925781,305.33465991650826,297.98474527846184,301.78675233634334,2228100
2022-09-08,308.3645935058594,308.58940252107635,300.633483953098,304.89489289498914,2212500
2022-09-09,310.51483154296875,312.92897061595613,308.09090908764773,309.2931018466672,2177000
2022-09-12,308.0909118652344,313.2026396985036,307.75860496413065,311.67792340996397,2077400
2022-09-13,299.548583984375,305.2467181522441,298.0922619067345,302.9987474465922,2272400
2022-09-14,302.6077575683594,304.7580136714912,298.9816723387626,300.2620426187326,2002900
2022-09-15,302.470947265625,305.2173931893312,298.83507855907175,302.70550981850437,2348100
2022-09-16,301.9040832519531,304.90462871946676,299.80268431085875,301.0048770707635,4380200
2022-09-19,298.1900634765625,299.5877153559443,290.91832455723176,299.54864147396063,2515300
2022-09-20,294.9059753417969,296.9487035625384,292.1790666446391,296.9487035625384,1816800
2022-09-21,289.7747802734375,297.6427084894107,289.61839527508147,294.19254462428785,2241200
2022-09-22,303.83929443359375,305.5399326857176,293.1760336910649,293.99703249648286,5918300
2022-09-23,304.4158630371094,308.05173092758537,298.21925509451444,304.8165938599233,4572600
2022-09-26,300.5455017089844,304.67984568986407,297.9847610684308,301.816088647044,3760000
2022-09-27,304.0641174316406,306.8496673305112,301.3469915598826,302.158207019943,3019600
2022-09-28,326.8175964355469,333.9720529361088,320.67962742813785,325.9868142486638,9436300
2022-09-29,322.54644775390625,327.11081354333226,319.8683957731735,326.4168793746877,3743100
2022-09-30,316.0370178222656,322.0577048499444,315.1280581615184,319.7510638627237,4474100
2022-10-03,314.2777404785156,321.90135180923056,309.8795134971982,318.6173268196063,3340500
2022-10-04,322.4291687011719,322.6344109555255,314.50257026312266,314.89351783292545,2622500
2022-10-05,324.2763671875,326.2995586324903,320.1127030243113,320.87506112754744,2186100
2022-10-06,325.419921875,331.5872107690223,319.4774121473075,320.5232198874689,4299200
2022-10-07,319.272216796875,325.5372509483919,317.5520116503751,325.43950659645196,2601600
2022-10-10,316.5648193359375,319.614251692392,312.997344986771,318.85189360327837,1956200
2022-10-11,320.1909484863281,321.5886002038382,312.20570947584497,312.76282541719235,2598900
2022-10-12,317.22943115234375,326.104061925955,316.55503402062607,319.97587693271964,1764700
2022-10-13,324.589111328125,325.8303778074028,311.88312406611226,311.90266100096574,2657400
2022-10-14,323.8951721191406,327.70696227131367,320.8066363009391,324.061310631192,2231400
2022-10-17,325.2342529296875,329.94522032312614,324.2470857162771,325.2635732515023,2230000
2022-10-18,327.4528503417969,327.7460535123585,322.89823885231607,326.58299438420886,2087100
2022-10-19,321.84271240234375,328.03932197159304,318.59779110289765,327.66791136381016,2419000
2022-10-20,321.62762451171875,323.94401884325794,318.52930541323,323.6605692510275,1761200
2022-10-21,333.0630187988281,334.68547925234265,319.3796475703937,321.62764788292293,3274700
2022-10-24,340.0317687988281,343.8142387845322,336.43500409441435,336.43500409441435,3375900
2022-10-25,343.36468505859375,344.36160575221635,335.291485686345,338.6830085139894,2513100
2022-10-26,349.7665710449219,353.3047256450312,342.5143995646495,344.5278079140698,2373500
2022-10-27,348.2711181640625,352.9527944046812,347.2839809168624,350.8709623664405,2347600
2022-10-28,351.7604064941406,353.8129183394876,348.965103279653,352.17092079416403,2942100
2022-10-31,353.9008483886719,355.6894772025348,342.53387156959695,350.53864618815396,4258200
2022-11-01,344.60595703125,350.8709905858482,333.0435201384604,338.0086165736283,7013000
2022-11-02,346.93212890625,354.9369042362721,342.2895560755786,346.1502338341436,3774400
2022-11-03,353.5001525878906,354.6241379509593,343.5601764118261,346.05249307895167,2602500
