Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2020-06-15,122.55722045898438,123.55502616162454,120.94336909716702,122.3403050245437,8649600
2020-06-16,125.3424301147461,126.17537803303891,123.87607954669382,125.02138624421357,7579100
2020-06-17,124.96063995361328,126.17536102045116,124.48342337754602,125.72417323585424,5100100
2020-06-18,124.43135833740234,125.04739068457019,123.09515200449319,123.65914001130606,4797400
2020-06-19,124.79576110839844,126.57446991644781,124.29251582556964,126.49637031571626,12206900
2020-06-22,124.41400909423828,124.64828145739071,123.23398866725819,124.48342361811555,5285600
2020-06-23,123.95417785644531,125.01272641902426,123.797991832072,124.7177245545599,5921600
2020-06-24,121.31649017333984,123.37284458818715,120.36205681146537,122.76548392129867,8211200
2020-06-25,121.18630981445312,121.96721329950137,119.33818612991936,121.96721329950137,7421200
2020-06-26,119.57247924804688,121.12560139726173,118.88703220149243,121.06485871189307,12849700
2020-06-29,120.63966369628906,121.21232353288254,119.71994451358977,120.3793758064424,5309800
2020-06-30,122.01927947998047,122.35766704216671,119.59849571709827,120.95204596584324,7738300
2020-07-01,121.80233764648438,122.67867108190077,121.52467958409595,122.07131061975747,6174800
2020-07-02,122.31429290771484,123.06915448585552,121.75898984941622,122.55723716825366,5152200
2020-07-06,124.05827331542969,124.7437335120729,123.10385333405272,123.35546941620213,6156400
2020-07-07,123.94548034667969,124.91725722350493,122.53985937616663,122.67868842698937,5622600
2020-07-08,124.30989837646484,124.41401354627304,122.94766312062731,123.96282574465886,6257400
2020-07-09,123.63312530517578,125.31637794881787,121.97588821494182,123.86738444105544,5738600
2020-07-10,123.52902221679688,123.96285317294434,122.71341790092444,123.85873798009938,4282400
2020-07-13,125.99317169189453,127.23392167046094,124.31857758801716,124.6049075614097,6951900
2020-07-14,128.34449768066406,128.752299677197,126.03651472995965,126.0885855452432,7447100
2020-07-15,128.63954162597656,130.33149283177534,128.61351282953066,129.91500560970252,8512800
2020-07-16,129.49847412109375,129.57656047575588,127.2685777930109,129.00390072930696,9304700
2020-07-17,129.58529663085938,130.65251695020348,129.01263665873577,130.14927151162232,7441100
2020-07-20,129.8022003173828,130.4269178231682,128.78702444088105,130.34881820534451,6191500
2020-07-21,129.92364501953125,131.59822545294753,129.71540148171457,129.80217293233767,5575900
2020-07-22,130.15792846679688,130.50500109478614,128.2837892335229,130.088513941199,5910200
2020-07-23,129.8108367919922,130.8867418119615,129.52450690991654,130.33143898475947,6566300
2020-07-24,128.51803588867188,130.66984625494317,127.57228789319889,130.5830747965014,5405900
2020-07-27,127.70244598388672,129.2121821474965,127.4248011171634,127.86730382950395,5675200
2020-07-28,127.39879608154297,128.4052870449699,127.32938154205114,127.8933564711514,4842200
2020-07-29,127.14714050292969,127.95407277359494,126.7393516816404,127.01699654288703,4489100
2020-07-30,127.40747833251953,127.98013840046237,126.80011761173351,127.92808080146224,5922500
2020-07-31,126.4703598022461,127.93671013763458,124.90857939338547,127.25126324614276,8259600
2020-08-03,127.84996032714844,128.23172036455585,126.80875566677497,127.01699924674311,4078700
2020-08-04,127.73717498779297,127.73717498779297,126.5224537280847,127.53761647501277,4162200
2020-08-05,128.76100158691406,129.55057697640294,128.24041246772677,129.36837541850116,5467500
2020-08-06,128.0234832763672,129.49850548152983,127.11243586629227,128.76098775921525,4837900
2020-08-07,128.9345245361328,128.9778970264041,127.6764045710843,127.98876328993968,3635100
2020-08-10,128.43995666503906,129.29026139931597,128.17098366415826,129.16011744387896,4096600
2020-08-11,127.520263671875,129.48117469463486,126.99966126397172,129.40308830529014,6388400
2020-08-12,129.85423278808594,130.35747808371838,127.97140878377725,128.01478127038618,5257300
2020-08-13,128.41395568847656,129.44647542347604,128.00615355382183,128.88248726900045,5155500
2020-08-14,128.62217712402344,129.5765970648116,128.0495172158703,128.07554600810752,4240200
2020-08-17,129.27293395996094,130.34882609882465,128.6135025308838,128.69160215343692,4306900
2020-08-18,130.22732543945312,130.2360105286491,128.90848934925683,129.50716472784404,4322600
2020-08-19,130.48765563964844,131.52017528466976,129.55926441192324,129.78485171037326,7816300
2020-08-20,131.38133239746094,131.5201614462696,129.75880926284353,129.93233895412095,4874700
2020-08-21,132.5439910888672,133.31620944061228,130.66116686583624,131.6936863647972,6722800
2020-08-24,132.89340209960938,133.54847969128195,131.32122654166537,133.40873993402514,5387900
2020-08-25,132.8147735595703,133.69695309704366,132.360582774316,133.44364900758848,3863500
2020-08-26,133.02444458007812,133.33013950322294,131.57453610517186,132.64013020575698,8008300
